"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2023-06-30 a las 11:58:23 (tiempo del centro de Mexico)."
"Sismicidad del 1900-06-01 al 2023-06-30, todas las magnitudes, todas las profundidades, en Chihuahua."
"Total: 682 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1974-11-27,21:35:20,3.9,32.31,-104.14,5.0,"231 km al NORESTE de CD JUAREZ, CHIH",1974-11-28,03:35:20,revisado
1975-08-01,01:27:57,4.8,31.43,-104.01,5.0,"210 km al NORTE de MANUEL OJINAGA, CHIH",1975-08-01,07:27:57,revisado
1976-01-18,22:03:30,3.5,31.9,-103.08,1.0,"289 km al NORESTE de MANUEL OJINAGA, CHIH",1976-01-19,04:03:30,revisado
1976-01-22,01:21:57,2.8,31.9,-103.07,1.0,"289 km al NORESTE de MANUEL OJINAGA, CHIH",1976-01-22,07:21:57,revisado
1976-03-09,00:49:40,no calculable,29.44,-104.9,5.0,"49 km al SUROESTE de MANUEL OJINAGA, CHIH",1976-03-09,06:49:40,revisado
1977-01-04,12:31:37,3.2,32.36,-106.92,5.0,"73 km al NOROESTE de PUERTO DE ANAPRA, CHIH",1977-01-04,18:31:37,revisado
1977-02-12,00:51:44,3.7,28.34,-105.13,10.0,"35 km al ESTE de PEDRO MEOQUI, CHIH",1977-02-12,06:51:44,revisado
1977-04-26,03:03:07,3.3,31.9,-103.08,4.0,"289 km al NORESTE de MANUEL OJINAGA, CHIH",1977-04-26,09:03:07,revisado
1978-03-02,04:04:52,3.5,31.56,-102.51,11.0,"287 km al NORESTE de MANUEL OJINAGA, CHIH",1978-03-02,10:04:52,revisado
1988-01-31,03:24:36,3.4,29.94,-105.08,5.0,"76 km al NOROESTE de MANUEL OJINAGA, CHIH",1988-01-31,09:24:36,revisado
1991-02-06,04:03:02,3.9,28.43,-106.33,5.0,"33 km al SUROESTE de CHIHUAHUA, CHIH",1991-02-06,10:03:02,revisado
1992-02-23,10:17:52,3.4,30.65,-105.51,5.0,"152 km al SURESTE de CD JUAREZ, CHIH",1992-02-23,16:17:52,revisado
1993-07-16,14:43:10,3.8,29.65,-107.01,5.0,"121 km al NORESTE de MADERA, CHIH",1993-07-16,20:43:10,revisado
1995-01-31,05:33:52,3.5,27.74,-105.11,10.0,"9 km al NORESTE de SANTA ROSALIA, CHIH",1995-01-31,11:33:52,revisado
2005-01-04,21:37:56,3.2,27.75,-104.99,5.0,"19 km al NORESTE de SANTA ROSALIA, CHIH",2005-01-05,03:37:56,revisado
2010-04-24,18:13:18,4.3,28.81,-108.3,20.0,"45 km al SUROESTE de MADERA, CHIH",2010-04-24,23:13:18,revisado
