"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2023-06-22 a las 12:25:06 (tiempo del centro de Mexico)."
"Sismicidad del 2023-06-01 al 2023-06-22, todas las magnitudes, todas las profundidades, en Chiapas."
"Total: 169 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
2023-06-01,01:31:25,3.2,15.67,-93.27,9.0,"7 km al OESTE de PIJIJIAPAN, CHIS ",2023-06-01,07:31:25,verificado
2023-06-01,01:53:20,4.1,15.7,-94.02,39.0,"52 km al SUROESTE de TONALA, CHIS ",2023-06-01,07:53:20,verificado
2023-06-01,02:10:41,3.3,16.4,-94.02,104.0,"23 km al NOROESTE de ARRIAGA , CHIS ",2023-06-01,08:10:41,verificado
2023-06-01,07:58:58,3.8,15.76,-93.92,60.3,"40 km al SUROESTE de TONALA, CHIS ",2023-06-01,13:58:58,verificado
2023-06-01,13:50:16,3.9,16.58,-91.23,7.1,"86 km al NORESTE de LAS MARGARITAS, CHIS ",2023-06-01,19:50:16,verificado
2023-06-01,15:46:22,3.8,15.94,-93.8,88.5,"17 km al SUROESTE de TONALA, CHIS ",2023-06-01,21:46:22,verificado
2023-06-01,18:53:14,3.8,15.55,-93.21,104.2,"15 km al SUR de PIJIJIAPAN, CHIS ",2023-06-02,00:53:14,verificado
2023-06-01,19:26:27,4.2,15.71,-94.02,84.2,"51 km al SUROESTE de TONALA, CHIS ",2023-06-02,01:26:27,verificado
2023-06-01,22:03:25,4.1,14.97,-94.12,16.1,"126 km al SUROESTE de PIJIJIAPAN, CHIS ",2023-06-02,04:03:25,verificado
2023-06-01,23:40:28,3.9,16.04,-94.01,69.0,"25 km al SUROESTE de ARRIAGA , CHIS ",2023-06-02,05:40:28,verificado
2023-06-02,06:52:29,4.1,14.84,-93.24,53.8,"77 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-02,12:52:29,verificado
2023-06-02,10:02:06,4.0,15.01,-93.07,79.2,"52 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-02,16:02:06,verificado
2023-06-02,10:14:43,3.8,15.59,-93.5,88.5,"33 km al SUROESTE de PIJIJIAPAN, CHIS ",2023-06-02,16:14:43,verificado
2023-06-02,10:21:39,3.8,14.8,-93.18,19.1,"77 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-02,16:21:39,verificado
2023-06-02,16:11:53,3.9,14.95,-92.59,96.5,"25 km al SUROESTE de HUIXTLA, CHIS ",2023-06-02,22:11:53,verificado
2023-06-02,17:14:08,3.7,14.97,-94.27,17.0,"135 km al SUROESTE de TONALA, CHIS ",2023-06-02,23:14:08,verificado
2023-06-02,20:28:54,3.8,15.3,-93.4,76.6,"47 km al SUROESTE de PIJIJIAPAN, CHIS ",2023-06-03,02:28:54,verificado
2023-06-03,02:37:24,4.0,15.04,-94.48,16.0,"139 km al SUROESTE de TONALA, CHIS ",2023-06-03,08:37:24,verificado
2023-06-03,04:42:42,3.6,15.65,-93.57,89.7,"39 km al OESTE de PIJIJIAPAN, CHIS ",2023-06-03,10:42:42,verificado
2023-06-03,05:16:27,3.7,14.78,-92.94,8.0,"65 km al SUROESTE de HUIXTLA, CHIS ",2023-06-03,11:16:27,verificado
2023-06-03,05:51:58,3.9,14.12,-93.7,15.4,"170 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-03,11:51:58,verificado
2023-06-03,16:22:41,3.3,17.12,-93.12,15.0,"39 km al NORESTE de BERRIOZABAL, CHIS ",2023-06-03,22:22:41,verificado
2023-06-03,21:02:56,3.9,14.83,-93.25,32.7,"77 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-04,03:02:56,verificado
2023-06-03,21:32:44,3.8,15.66,-94.34,58.5,"78 km al SUROESTE de TONALA, CHIS ",2023-06-04,03:32:44,verificado
2023-06-04,00:32:56,3.9,14.23,-92.96,10.0,"101 km al SUROESTE de CD HIDALGO, CHIS ",2023-06-04,06:32:56,verificado
2023-06-04,03:43:12,3.8,14.89,-93.11,45.8,"65 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-04,09:43:12,verificado
2023-06-04,05:35:02,3.7,14.66,-93.91,17.5,"136 km al SUROESTE de PIJIJIAPAN, CHIS ",2023-06-04,11:35:02,verificado
2023-06-04,06:17:52,3.7,16.39,-93.71,67.2,"26 km al NORESTE de ARRIAGA , CHIS ",2023-06-04,12:17:52,verificado
2023-06-04,07:07:00,3.9,15.62,-93.97,67.7,"56 km al SUROESTE de TONALA, CHIS ",2023-06-04,13:07:00,verificado
2023-06-04,07:22:37,3.7,15.72,-93.89,72.8,"43 km al SUROESTE de TONALA, CHIS ",2023-06-04,13:22:37,verificado
2023-06-04,11:20:07,3.8,15.01,-94.42,17.7,"139 km al SUROESTE de TONALA, CHIS ",2023-06-04,17:20:07,verificado
2023-06-04,14:18:34,3.7,15.8,-93.75,107.4,"32 km al SUR de TONALA, CHIS ",2023-06-04,20:18:34,verificado
2023-06-04,18:05:23,4.1,17.0,-94.13,153.5,"55 km al NOROESTE de CINTALAPA, CHIS ",2023-06-05,00:05:23,verificado
2023-06-04,18:31:43,4.0,15.73,-93.66,78.5,"41 km al SUR de TONALA, CHIS ",2023-06-05,00:31:43,verificado
2023-06-04,21:14:47,3.6,16.9,-93.84,181.3,"26 km al NOROESTE de CINTALAPA, CHIS ",2023-06-05,03:14:47,verificado
2023-06-05,04:23:39,3.6,16.03,-93.68,104.6,"10 km al SURESTE de TONALA, CHIS ",2023-06-05,10:23:39,verificado
2023-06-05,06:07:53,3.9,14.62,-92.2,84.3,"9 km al SUROESTE de CD HIDALGO, CHIS ",2023-06-05,12:07:53,verificado
2023-06-05,09:31:14,3.6,15.4,-93.55,71.1,"48 km al SUROESTE de PIJIJIAPAN, CHIS ",2023-06-05,15:31:14,verificado
2023-06-05,17:52:29,3.7,15.19,-93.36,73.8,"58 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-05,23:52:29,verificado
2023-06-05,21:53:01,3.7,15.71,-92.61,196.0,"42 km al NORESTE de MAPASTEPEC, CHIS ",2023-06-06,03:53:01,verificado
2023-06-06,11:27:04,3.9,14.1,-92.42,71.5,"70 km al SUROESTE de CD HIDALGO, CHIS ",2023-06-06,17:27:04,verificado
2023-06-06,18:48:02,3.9,14.96,-93.12,57.6,"59 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-07,00:48:02,verificado
2023-06-06,21:07:05,3.5,16.52,-93.74,133.0,"19 km al SUR de CINTALAPA, CHIS ",2023-06-07,03:07:05,verificado
2023-06-06,21:51:36,4.1,14.54,-92.83,15.0,"74 km al SUROESTE de TAPACHULA, CHIS ",2023-06-07,03:51:36,verificado
2023-06-06,22:12:03,3.8,14.91,-93.17,52.0,"66 km al SUROESTE de MAPASTEPEC, CHIS ",2023-06-07,04:12:03,verificado
